ticker,date,factor_name,factor_value,factor_rank,sector
AAPL,2020-02-28,momentum_60d,0.182,0.92,Technology
MSFT,2020-02-28,momentum_60d,0.154,0.88,Technology
JPM,2020-02-28,momentum_60d,-0.031,0.33,Financials
XOM,2020-02-28,momentum_60d,-0.112,0.14,Energy
AAPL,2020-03-31,momentum_60d,-0.168,0.26,Technology
MSFT,2020-03-31,momentum_60d,-0.145,0.31,Technology
JPM,2020-03-31,momentum_60d,-0.284,0.12,Financials
XOM,2020-03-31,momentum_60d,-0.352,0.07,Energy
AAPL,2024-12-31,momentum_60d,0.094,0.79,Technology
MSFT,2024-12-31,momentum_60d,0.061,0.72,Technology
JPM,2024-12-31,momentum_60d,0.118,0.85,Financials
XOM,2024-12-31,momentum_60d,-0.024,0.37,Energy
AAPL,2020-03-31,volatility_20d,0.586,0.84,Technology
MSFT,2020-03-31,volatility_20d,0.544,0.78,Technology
JPM,2020-03-31,volatility_20d,0.711,0.94,Financials
XOM,2020-03-31,volatility_20d,0.809,0.98,Energy
AAPL,2024-12-31,volatility_20d,0.214,0.43,Technology
MSFT,2024-12-31,volatility_20d,0.196,0.38,Technology
JPM,2024-12-31,volatility_20d,0.241,0.52,Financials
XOM,2024-12-31,volatility_20d,0.276,0.60,Energy
AAPL,2020-03-31,liquidity_dollar_volume,14500000000,0.96,Technology
MSFT,2020-03-31,liquidity_dollar_volume,12100000000,0.94,Technology
JPM,2020-03-31,liquidity_dollar_volume,3100000000,0.71,Financials
XOM,2020-03-31,liquidity_dollar_volume,2100000000,0.64,Energy
AAPL,2024-12-31,liquidity_dollar_volume,9900000000,0.92,Technology
MSFT,2024-12-31,liquidity_dollar_volume,5600000000,0.84,Technology
JPM,2024-12-31,liquidity_dollar_volume,1800000000,0.61,Financials
XOM,2024-12-31,liquidity_dollar_volume,1250000000,0.55,Energy
XLK,2024-12-31,sector_relative_strength,0.083,0.81,Technology
XLF,2024-12-31,sector_relative_strength,0.062,0.74,Financials
XLE,2024-12-31,sector_relative_strength,-0.041,0.29,Energy
SPY,2024-12-31,sector_relative_strength,0.000,0.50,Benchmark
