date,rank,ticker,name,selected,eligible,wave_score,trend_score,breakout_score,momentum_score,relative_strength_score,volume_score,risk_quality_score,risk_penalty,top_reasons,risk_flags,exclusion_reasons,feature_version,score_version,source_run_id
2026-06-30,1.0,600703.SH,三安光电,True,True,77,25,20,5,10,7,10,0,close_above_ma20|ma20_above_ma60|ma20_rising|near_120d_high|repeated_new_highs|positive_20d_momentum|outperforming_csi300|sufficient_turnover,,,wave-features-v1.0.0,wave-score-v1.0.0,8d18d0fe-7a2d-4e28-a1f6-8d05b24e5a6b
2026-06-30,2.0,688146.SH,中船特气,True,True,72,25,10,5,20,7,5,0,close_above_ma20|ma20_above_ma60|ma20_rising|repeated_new_highs|positive_20d_momentum|outperforming_csi300|top20pct_pilot_rs|sufficient_turnover,,,wave-features-v1.0.0,wave-score-v1.0.0,8d18d0fe-7a2d-4e28-a1f6-8d05b24e5a6b
2026-06-30,3.0,300308.SZ,中际旭创,True,True,67,25,10,5,10,7,10,0,close_above_ma20|ma20_above_ma60|ma20_rising|repeated_new_highs|positive_20d_momentum|outperforming_csi300|sufficient_turnover,,,wave-features-v1.0.0,wave-score-v1.0.0,8d18d0fe-7a2d-4e28-a1f6-8d05b24e5a6b
2026-06-30,4.0,600186.SH,莲花控股,False,True,62,25,10,5,10,7,5,0,close_above_ma20|ma20_above_ma60|ma20_rising|repeated_new_highs|positive_20d_momentum|outperforming_csi300|sufficient_turnover,,,wave-features-v1.0.0,wave-score-v1.0.0,8d18d0fe-7a2d-4e28-a1f6-8d05b24e5a6b
2026-06-30,5.0,603773.SH,沃格光电,False,True,62,25,10,5,10,7,5,0,close_above_ma20|ma20_above_ma60|ma20_rising|repeated_new_highs|positive_20d_momentum|outperforming_csi300|sufficient_turnover,,,wave-features-v1.0.0,wave-score-v1.0.0,8d18d0fe-7a2d-4e28-a1f6-8d05b24e5a6b
2026-06-30,,000300.SH,沪深300,False,False,55,25,10,10,0,0,10,0,close_above_ma20|ma20_above_ma60|ma20_rising|near_120d_high|positive_20d_momentum|momentum_accelerating,,benchmark,wave-features-v1.0.0,wave-score-v1.0.0,8d18d0fe-7a2d-4e28-a1f6-8d05b24e5a6b
2026-06-30,6.0,688082.SH,盛美上海,False,True,50,25,10,5,10,0,5,5,close_above_ma20|ma20_above_ma60|ma20_rising|repeated_new_highs|positive_20d_momentum|outperforming_csi300,extended_above_ma20,,wave-features-v1.0.0,wave-score-v1.0.0,8d18d0fe-7a2d-4e28-a1f6-8d05b24e5a6b
2026-06-30,7.0,601991.SH,大唐发电,False,True,15,8,0,0,0,7,0,0,ma20_above_ma60|sufficient_turnover,,,wave-features-v1.0.0,wave-score-v1.0.0,8d18d0fe-7a2d-4e28-a1f6-8d05b24e5a6b
2026-06-30,8.0,301261.SZ,恒工精密,False,True,12,0,0,0,0,7,5,0,sufficient_turnover,,,wave-features-v1.0.0,wave-score-v1.0.0,8d18d0fe-7a2d-4e28-a1f6-8d05b24e5a6b
